Citizenship,Rate,Year,Type
Non-EU27,45.8,2013,Total
Non-EU27,39.6,2013,Males
Non-EU27,52.7,2013,Females
Non-EU27,45.9,2014,Total
Non-EU27,41.1,2014,Males
Non-EU27,51,2014,Females
Non-EU27,45.2,2015,Total
Non-EU27,40.2,2015,Males
Non-EU27,50.5,2015,Females
Non-EU27,43.6,2016,Total
Non-EU27,39.2,2016,Males
Non-EU27,48.5,2016,Females
Non-EU27,43.3,2017,Total
Non-EU27,39.2,2017,Males
Non-EU27,48,2017,Females
Non-EU27,44,2018,Total
Non-EU27,40,2018,Males
Non-EU27,48.7,2018,Females
Non-EU27,43.8,2019,Total
Non-EU27,40.6,2019,Males
Non-EU27,47.4,2019,Females
Non-EU27,41.4,2020,Total
Non-EU27,38.4,2020,Males
Non-EU27,44.9,2020,Females
Non-EU27,39.4,2021,Total
Non-EU27,36.5,2021,Males
Non-EU27,42.6,2021,Females
Non-EU27,39.4,2022,Total
Non-EU27,35.9,2022,Males
Non-EU27,43.4,2022,Females
Nationals ,20,2013,Total
Nationals ,19,2013,Males
Nationals ,21,2013,Females
Nationals ,20.7,2014,Total
Nationals ,19.5,2014,Males
Nationals ,21.9,2014,Females
Nationals ,20.8,2015,Total
Nationals ,19.6,2015,Males
Nationals ,21.9,2015,Females
Nationals ,20.8,2016,Total
Nationals ,19.7,2016,Males
Nationals ,21.7,2016,Females
Nationals ,21,2017,Total
Nationals ,19.9,2017,Males
Nationals ,22.1,2017,Females
Nationals ,21,2018,Total
Nationals ,20,2018,Males
Nationals ,21.9,2018,Females
Nationals ,20.7,2019,Total
Nationals ,19.7,2019,Males
Nationals ,21.6,2019,Females
Nationals ,20.7,2020,Total
Nationals ,20,2020,Males
Nationals ,21.2,2020,Females
Nationals ,20.8,2021,Total
Nationals ,20.2,2021,Males
Nationals ,21.3,2021,Females
Nationals ,21.1,2022,Total
Nationals ,20.4,2022,Males
Nationals ,21.8,2022,Females
EU27 citizens other than nationals,32.3,2013,Total
EU27 citizens other than nationals,28.9,2013,Males
EU27 citizens other than nationals,35.6,2013,Females
EU27 citizens other than nationals,34,2014,Total
EU27 citizens other than nationals,29.6,2014,Males
EU27 citizens other than nationals,38.5,2014,Females
EU27 citizens other than nationals,33.8,2015,Total
EU27 citizens other than nationals,28.9,2015,Males
EU27 citizens other than nationals,38.5,2015,Females
EU27 citizens other than nationals,33.1,2016,Total
EU27 citizens other than nationals,28.7,2016,Males
EU27 citizens other than nationals,37.4,2016,Females
EU27 citizens other than nationals,34,2017,Total
EU27 citizens other than nationals,29.9,2017,Males
EU27 citizens other than nationals,37.9,2017,Females
EU27 citizens other than nationals,34.3,2018,Total
EU27 citizens other than nationals,30.6,2018,Males
EU27 citizens other than nationals,37.9,2018,Females
EU27 citizens other than nationals,33.3,2019,Total
EU27 citizens other than nationals,30.9,2019,Males
EU27 citizens other than nationals,35.7,2019,Females
EU27 citizens other than nationals,32.2,2020,Total
EU27 citizens other than nationals,29.1,2020,Males
EU27 citizens other than nationals,35.2,2020,Females
EU27 citizens other than nationals,32.1,2021,Total
EU27 citizens other than nationals,30.1,2021,Males
EU27 citizens other than nationals,34,2021,Females
EU27 citizens other than nationals,31.8,2022,Total
EU27 citizens other than nationals,30.2,2022,Males
EU27 citizens other than nationals,33.2,2022,Females
